station_id;station_name;lat;lon;altitude;from_date;to_date;fed_state
00003;Aachen;50.7827;6.0941;202;19500401;20110401;Nordrhein-Westfalen
00005;Aachen-Merzbrück;50.8167;6.1833;190;19790102;19950630;Nordrhein-Westfalen
00020;Abtsgmünd-Untergröningen;48.9220;9.9129;432;20040813;20190623;Baden-Württemberg
00029;Adelsdorf (Kläranlage);49.7175;10.9101;260;20060110;20190623;Bayern
00044;Großenkneten;52.9336;8.2370;44;19790101;20190623;Niedersachsen
00046;Aholfing;48.9450;12.4639;325;20060103;20190623;Bayern
00047;Ahorn-Eubigheim;49.4997;9.5439;338;20081105;20131127;Baden-Württemberg
00053;Ahrensfelde;52.5850;13.5634;60;20051001;20190623;Brandenburg
00071;Albstadt-Badkap;48.2156;8.9784;759;20041022;20190623;Baden-Württemberg
00073;Aldersbach-Kriestorf;48.6159;13.0506;340;20070401;20190623;Bayern
00078;Alfhausen;52.4853;7.9126;65;20041101;20190623;Niedersachsen
00087;Alperstedt;51.0950;11.0479;158;20050201;20190623;Thüringen
00091;Alsfeld-Eifa;50.7446;9.3450;300;20040901;20190623;Hessen
00096;Neuruppin-Alt Ruppin;52.9437;12.8518;50;20190409;20190623;Brandenburg
00098;Altastenberg;51.1890;8.4671;780;19490101;19541206;Nordrhein-Westfalen
00102;Leuchtturm Alte Weser;53.8633;8.1275;32;19790101;20190623;Niedersachsen
00103;Hagelstadt;48.8960;12.2170;364;20040701;20190623;Bayern
00118;Altendorf;49.4053;12.2852;391;20050601;20190623;Bayern
00124;Bibra, Bad-Altenroda;51.2388;11.5770;265;20061101;20190623;Sachsen-Anhalt
00125;Altenstadt;47.8342;10.8667;756;19930301;20190623;Bayern
00130;Altertheim-Oberaltertheim;49.7283;9.7692;300;20041201;20190623;Bayern
00131;Geringswalde-Altgeringswalde;51.0881;12.9326;296;20041101;20190623;Sachsen
00142;Altomünster-Maisbrunn;48.4060;11.3117;510;20051201;20190623;Bayern
00146;Altusried-Muthmannshofen;47.7922;10.0988;730;20060108;20190623;Bayern
00150;Alzey;49.7273;8.1164;215;20050701;20190623;Rheinland-Pfalz
00151;Amberg-Unterammersricht;49.4691;11.8546;383;20050301;20190623;Bayern
00152;Amelinghausen;53.1268;10.2184;57;20090701;20120112;Niedersachsen
00154;Amerang-Pfaffing;48.0197;12.2924;515;20050301;20190623;Bayern
00158;Amöneburg-Rüdigheim;50.7840;8.9545;210;20040701;20190623;Hessen
00161;Andernach;50.4237;7.4202;75;20110901;20190623;Rheinland-Pfalz
00164;Angermünde;53.0316;13.9908;54;19750701;20190623;Brandenburg
00167;Anklam;53.8412;13.6846;9;20040901;20190623;Mecklenburg-Vorpommern
00175;Ansbach;49.2964;10.5751;413;19511101;19760430;Bayern
00183;Arkona;54.6792;13.4343;42;19760401;20190623;Mecklenburg-Vorpommern
00191;Arnstein-Müdesheim;49.9695;9.9113;220;20050301;20190623;Bayern
00194;Arolsen-Landau, Bad;51.3431;9.0763;265;20050201;20190623;Hessen
00198;Artern;51.3745;11.2920;164;19750701;20190623;Thüringen
00200;Lauperath-Scheidchen;50.0850;6.3161;517;20041201;20190623;Rheinland-Pfalz
00205;Aschau-Stein;47.7274;12.2982;680;20050501;20190623;Bayern
00211;Aßlar Klein-Altenstädten;50.5800;8.4685;200;20041101;20190623;Hessen
00213;Sargstedt;51.9375;10.9897;170;20070501;20190623;Sachsen-Anhalt
00216;Attendorn-Neulisternohl;51.1143;7.8807;298;20041001;20190623;Nordrhein-Westfalen
00217;Attenkam;47.8774;11.3642;672;20050101;20190623;Bayern
00222;Aue;50.5907;12.7140;387;19900611;20190623;Sachsen
00227;Aufseß-Hochstahl;49.8823;11.2656;432;20041001;20190623;Bayern
00232;Augsburg;48.4254;10.9420;461;19490101;20190623;Bayern
00240;Aura im Sinngrund;50.1805;9.5743;287;20040901;20190623;Bayern
00246;Axien;51.7015;12.8909;73;20060101;20080812;Sachsen-Anhalt
00257;Baden-Baden-Geroldsau;48.7270;8.2458;240;20021101;20190623;Baden-Württemberg
00258;Baden-Oos;48.8000;8.1833;124;19800112;19920419;Baden-Württemberg
00259;Müllheim;47.8064;7.6387;273;20040701;20190623;Baden-Württemberg
00269;Baiersbronn-Mitteltal;48.5116;8.3176;596;20060524;20190623;Baden-Württemberg
00275;Balderschwang;47.4650;10.1043;1037;20041001;20190623;Bayern
00279;Baltmannsweiler-Hohengehren;48.7573;9.4514;457;20061101;20190623;Baden-Württemberg
00282;Bamberg;49.8742;10.9206;240;19490101;20190623;Bayern
00287;Walternienburg-Ronney;51.9611;11.9159;52;20080501;20190623;Sachsen-Anhalt
00292;Barnstorf;52.6965;8.4870;37;20051201;20190623;Niedersachsen
00294;Barsinghausen-Hohenbostel;52.3199;9.4300;110;20040701;20190623;Niedersachsen
00298;Barth;54.3406;12.7108;3;19900611;20190623;Mecklenburg-Vorpommern
00301;Bartholomä;48.7584;9.9855;659;20150901;20190623;Baden-Württemberg
00303;Baruth;52.0614;13.4996;55;19911118;20190623;Brandenburg
00305;Basepohl;53.7333;12.9333;53;19911104;19960110;Mecklenburg-Vorpommern
00310;Battenberg-Hof Karlsburg;51.0662;8.5375;590;20041101;20190623;Hessen
00312;Baumgarten;53.8149;11.8818;52;20070601;20190623;Mecklenburg-Vorpommern
00314;Kubschütz, Kr. Bautzen;51.1604;14.5042;232;20040501;20190623;Sachsen
00316;Bayerfeld-Steckweiler -Schmalfelderhof;49.6957;7.8387;310;20041101;20190623;Rheinland-Pfalz
00320;Heinersreuth-Vollhof;49.9667;11.5197;350;20060701;20190623;Bayern
00323;Bechhofen/Mittelfranken -Voggendorf;49.1626;10.5918;425;20040315;20190623;Bayern
00326;Beckum-Unterberg;51.7204;8.0577;120;20040701;20130708;Nordrhein-Westfalen
00330;Oberzent-Beerfelden;49.5617;8.9673;450;20040801;20190623;Hessen
00336;Hörselberg-Hainich-Behringen;51.0221;10.5148;290;20040901;20190623;Thüringen
00342;Belm;52.3170;8.1694;103;20101201;20190623;Niedersachsen
00348;Bendorf;50.4135;7.5886;127;19891201;20110902;Rheinland-Pfalz
00357;Bentheim, Bad;52.3018;7.1301;50;20050901;20190623;Niedersachsen
00359;Beratzhausen;49.1023;11.7958;463;20040701;20190623;Bayern
00360;Berching;49.1115;11.4328;403;20040701;20190623;Bayern
00361;Berchtesgaden (KKst);47.6344;13.0109;550;19490101;19751219;Bayern
00368;Bergen;52.8152;9.9248;70;19930301;20190623;Niedersachsen
00377;Bergzabern, Bad;49.1070;7.9967;210;20041001;20190623;Rheinland-Pfalz
00378;Berka;51.6843;10.1077;136;20050401;20190623;Niedersachsen
00379;Berka, Bad (Flugplatz);50.9074;11.2665;303;20170901;20190623;Thüringen
00384;Berkheim;48.0409;10.0808;570;20050622;20140918;Baden-Württemberg
00389;Berleburg, Bad-Arfeld;51.0148;8.4318;436;20091101;20190623;Nordrhein-Westfalen
00390;Berleburg, Bad-Stünzel;50.9837;8.3683;610;20040701;20190623;Nordrhein-Westfalen
00399;Berlin-Alexanderplatz;52.5198;13.4057;36;19900611;20150630;Berlin
00400;Berlin-Buch;52.6309;13.5022;60;20040601;20190623;Berlin
00403;Berlin-Dahlem (FU);52.4537;13.3017;51;19550101;20190623;Berlin
00410;Berlin-Kaniswall;52.4040;13.7309;33;20040501;20190430;Berlin
00420;Berlin-Marzahn;52.5447;13.5598;60;20070801;20190623;Berlin
00427;Berlin-Schönefeld;52.3807;13.5306;46;19750701;20190623;Brandenburg
00430;Berlin-Tegel;52.5644;13.3088;36;19610102;20190623;Berlin
00433;Berlin-Tempelhof;52.4675;13.4021;48;19490101;20190623;Berlin
00443;Bernbeuren-Prachtsried;47.7388;10.7448;936;20040315;20190623;Bayern
00445;Bernburg/Saale (Nord);51.8218;11.7109;84;20050701;20190623;Sachsen-Anhalt
00450;Bernkastel-Kues;49.9186;7.0664;120;20051101;20121204;Rheinland-Pfalz
00460;Berus;49.2640;6.6868;363;19490101;20190623;Saarland
